scenario_id,event_id,track_id,event_type,object_type,observed_at_seconds,confidence,evidence_image
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_5b2cdae7.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_0f9c3c74.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_e5cc205a.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_9952b9c5.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_144d1421.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_24442f8a.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_758617a0.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_77cefd71.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_11ea9214.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_e5562914.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_b31d487d.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_6354d14c.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_5609f050.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_f21b6264.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_61c39c5d.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_44137fea.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_6dd0c3c4.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_18f3fdc9.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_db1a6385.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_48cd0a75.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_2befdd06.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_812de031.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_627c3a54.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_b4fef818.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_ffd64a37.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_68b1dec3.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_1496e554.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_75818d57.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_3041b69e.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_ad5b9712.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_46f062b1.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_dd3ce632.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_cf97db28.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_6b236658.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_8eb863d2.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_b38fc415.jpg
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_5421758d.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_253cad8a.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_4745ab81.jpg
